,0,1,2,3,4
190,21,71,48,15,67
191,47,94,30,32,31
192,22,28,43,39,60
193,56,23,2,33,96
194,53,96,43,70,57
195,23,63,99,88,2
196,53,38,59,47,6
197,8,24,28,61,73
198,28,86,35,1,18
199,25,87,29,96,61
200,56,1,25,54,74
201,45,5,52,44,57
202,6,36,66,14,18
203,44,12,23,8,52
204,72,3,18,82,52
205,93,16,20,67,20
206,54,33,46,54,95
207,7,14,61,87,58
208,36,62,52,45,30
209,71,89,30,58,44
210,89,3,44,61,63
211,43,85,14,84,15
212,94,67,34,83,58
213,34,95,31,26,53
214,94,47,72,36,38
215,85,6,34,40,2
216,54,3,10,48,77
217,10,13,64,2,58
218,26,50,58,61,98
219,96,96,58,25,13
220,83,37,33,55,12
221,26,41,36,81,3
222,93,82,93,71,0
223,93,31,51,10,31
224,14,71,33,77,29
225,76,38,26,84,66
226,11,18,43,62,22
227,29,76,1,68,84
228,80,22,31,48,65
229,93,95,6,45,17
230,13,8,96,68,76
231,78,11,81,60,92
232,82,20,55,87,14
233,19,14,91,58,22
234,21,72,65,54,13
235,54,46,51,32,12
236,95,21,57,90,28
237,29,48,88,53,58
238,44,6,7,64,70
239,43,27,43,40,42
240,29,80,72,43,90
241,49,25,24,80,25
242,30,42,4,50,74
243,93,99,76,66,67
244,91,11,86,31,7
245,51,49,21,35,56
246,91,65,22,73,22
247,24,87,49,31,89
248,8,54,30,74,66
249,57,32,42,68,56
250,47,87,75,67,98
251,32,19,92,72,77
252,14,69,13,65,62
253,60,38,29,33,64
254,48,88,99,17,6
255,56,61,67,52,46
256,95,81,70,21,15
257,32,90,37,32,90
258,75,95,24,12,37
259,4,79,20,4,73
260,75,57,35,97,76
261,45,91,81,35,72
262,10,28,85,12,52
263,3,82,80,92,82
264,29,7,67,56,97
265,28,46,7,37,8
266,12,43,3,55,93
267,61,85,33,25,95
268,54,9,34,55,76
269,74,7,32,16,5
270,71,86,20,33,17
271,61,9,75,98,23
272,84,38,10,81,67
273,62,36,49,66,8
274,1,75,52,37,61
275,82,83,11,87,52
276,19,15,69,24,95
277,14,39,89,34,31
278,48,28,88,21,74
279,94,46,8,33,47
280,4,32,98,42,95
281,69,36,63,18,55
282,91,22,63,67,6
283,34,44,7,58,70
284,81,50,3,64,67
285,5,61,20,71,18
286,75,10,59,66,1
287,9,39,84,31,92
288,31,92,55,75,10
289,57,7,76,29,36
290,96,32,44,18,85
291,59,94,63,34,45
292,92,75,75,92,22
293,96,63,36,75,62
294,97,22,23,27,35
295,88,37,92,1,64
296,17,82,27,97,51
297,7,80,4,32,59
298,6,47,68,25,48
299,27,18,64,94,25
300,47,32,74,33,68
301,11,66,21,12,39
302,10,20,55,66,7
303,86,59,49,51,26
304,14,63,62,83,33
305,61,19,96,60,60
306,85,12,10,20,34
307,72,39,84,50,44
308,19,3,42,62,17
309,50,84,91,92,65
310,73,59,98,65,24
311,63,2,14,89,83
312,65,56,22,71,12
313,26,89,13,14,23
314,67,72,50,0,8
315,86,72,85,18,38
316,48,48,56,67,38
317,76,32,34,87,67
318,35,27,82,55,21
319,84,83,97,57,1
320,16,6,8,26,85
321,16,72,47,85,21
322,71,42,5,98,61
323,34,50,48,3,10
324,37,2,15,99,52
325,92,28,72,31,90
326,61,69,90,29,64
327,11,69,52,85,75
328,9,66,83,22,52
329,8,31,61,45,88
330,54,55,36,4,72
331,58,80,33,97,0
332,61,34,99,52,58
333,4,84,22,8,34
334,42,7,22,95,39
335,78,62,54,8,86
336,42,25,4,25,10
337,42,87,86,5,25
338,34,78,29,6,40
339,60,16,14,98,74
340,86,0,67,34,21
341,67,39,92,81,98
342,96,80,57,87,51
343,59,92,76,0,13
344,24,29,90,32,2
345,67,61,73,22,0
346,46,21,47,95,42
347,72,97,31,73,84
348,66,42,93,84,96
349,63,74,14,32,40
350,91,29,79,17,13
351,19,18,56,27,48
352,99,78,61,65,38
353,89,1,78,63,65
354,54,46,89,26,17
355,29,32,57,2,55
356,41,20,16,26,81
357,25,47,26,15,98
358,80,86,38,77,22
359,25,39,10,36,47
360,60,71,51,51,53
361,79,33,33,58,12
362,31,69,49,12,83
363,32,32,47,38,43
364,17,57,37,60,57
365,47,9,29,71,9
366,87,93,17,75,4
367,55,93,47,85,93
368,48,15,76,69,8
369,7,59,78,74,77
370,22,89,99,27,24
371,66,56,26,9,40
372,76,77,48,29,45
373,13,47,41,3,28
374,34,10,85,32,87
375,71,2,11,13,20
376,12,66,55,63,45
377,20,72,65,52,70
378,10,21,26,46,76
379,31,17,91,54,91
380,31,73,2,78,79
381,60,64,23,99,19
382,16,55,20,74,38
383,63,65,41,27,5
384,66,89,35,15,19
385,78,30,16,74,27
386,11,97,11,90,9
387,58,57,57,51,38
388,66,67,65,66,19
389,89,54,73,33,27
390,59,92,44,46,77
391,55,31,78,92,91
392,30,47,96,43,20
393,51,31,29,16,2
394,84,30,0,44,91
395,83,88,46,41,70
396,9,3,0,5,52
397,76,61,84,84,43
398,69,77,76,8,48
399,46,46,68,53,22
400,15,89,74,2,69
401,16,74,56,28,21
402,33,29,68,73,29
403,99,1,82,11,36
404,36,71,35,54,36
405,16,66,22,31,11
406,9,6,22,36,23
407,82,9,74,93,28
408,59,12,52,1,60
409,17,14,94,86,74
410,11,21,1,94,90
411,62,45,63,74,37
412,98,74,92,6,55
413,89,53,62,43,48
414,16,61,54,95,18
415,82,36,74,58,4
416,83,44,84,71,64
417,17,29,67,84,36
418,7,12,9,56,3
419,69,23,99,30,39
420,21,37,69,82,0
421,0,10,11,37,34
422,67,51,0,71,90
423,30,60,91,91,27
424,3,66,69,9,76
425,3,68,78,10,32
426,0,2,91,74,84
427,19,86,99,70,82
428,44,88,89,3,36
429,46,58,92,2,45
430,47,2,30,24,82
431,22,47,86,80,69
432,83,12,79,82,42
433,75,87,73,66,26
434,59,76,88,36,51
435,87,58,46,36,50
436,14,12,22,29,9
437,29,46,70,21,35
438,98,41,10,28,47
439,74,74,22,38,39
440,10,81,27,65,81
441,60,80,73,94,46
442,35,6,73,66,87
443,20,87,64,99,61
444,63,97,41,42,36
445,19,2,16,47,78
446,68,10,41,19,1
447,70,42,7,18,9
448,98,48,28,7,52
449,37,69,24,39,60
450,50,64,60,87,72
451,77,16,74,4,62
452,95,29,21,79,86
453,94,95,12,71,7
454,89,1,50,17,26
455,25,81,63,44,79
456,49,25,87,58,14
457,12,78,92,70,32
458,51,56,2,96,21
459,26,44,74,35,14
460,78,48,20,61,92
461,75,43,63,58,41
462,58,18,48,46,38
463,53,54,48,80,98
464,1,34,42,95,88
465,62,53,69,50,91
466,4,71,87,69,57
467,29,21,60,16,33
468,45,27,75,48,85
469,47,38,72,3,10
470,56,28,27,97,61
471,85,81,49,64,50
472,65,39,84,10,14
473,84,62,72,91,21
474,54,30,78,25,32
475,27,8,87,23,90
476,23,44,26,69,97
477,2,47,40,28,20
478,97,91,25,57,61
479,5,96,17,39,40
480,60,45,68,60,16
481,59,33,63,26,36
482,5,48,94,83,52
483,88,6,52,42,1
484,44,95,65,71,7
485,55,17,99,87,16
486,57,97,27,12,52
487,16,91,20,85,63
488,87,95,27,33,18
489,14,38,87,92,87
490,35,29,75,19,78
491,84,94,8,94,68
492,2,43,95,96,78
493,78,72,52,20,15
494,50,88,16,7,51
495,24,64,33,63,83
496,92,51,88,35,47
497,84,15,29,0,14
498,47,87,41,32,50
499,14,13,19,48,95
500,21,31,92,10,18
501,40,6,34,7,50
502,62,86,38,22,93
503,26,32,8,67,35
504,13,83,85,19,80
505,51,52,8,62,21
506,66,98,20,5,34
507,54,75,52,89,61
508,14,86,30,51,65
509,7,64,94,36,8
510,38,40,7,58,36
511,79,2,67,11,62
512,41,82,2,38,86
513,66,41,68,77,67
514,68,61,38,91,75
515,46,95,97,90,45
516,20,8,7,14,74
517,20,91,12,62,1
518,79,54,97,42,55
519,24,51,1,33,34
520,14,44,71,36,5
521,10,63,34,49,90
522,56,17,32,16,60
523,92,0,88,76,95
524,34,64,64,48,93
525,90,96,73,11,96
526,81,81,76,10,15
527,12,0,17,49,14
528,9,27,89,15,55
529,90,18,95,36,70
530,73,67,90,4,18
531,6,33,88,28,43
532,95,89,47,91,44
533,4,84,84,23,74
534,69,21,48,67,66
535,63,19,63,70,87
536,30,35,87,50,89
537,43,60,30,73,74
538,16,55,72,31,22
539,72,76,41,28,85
540,9,37,40,50,19
541,81,50,11,51,13
542,66,99,35,51,79
543,40,14,76,13,83
544,64,17,16,99,42
545,93,51,64,91,17
546,89,9,76,46,76
547,50,86,74,51,71
548,23,89,93,79,18
549,3,13,87,8,74
550,15,80,52,85,47
551,97,43,51,36,35
552,6,77,9,42,65
553,1,24,6,63,17
554,13,49,28,97,32
555,90,31,96,51,82
556,17,94,1,47,28
557,78,61,40,2,44
558,24,34,38,53,7
559,38,59,71,53,62
560,89,79,11,84,44
561,50,98,47,54,6
562,95,56,37,73,95
563,83,85,89,79,85
564,73,90,50,73,81
565,16,35,86,65,0
566,0,15,53,68,48
567,40,15,8,23,10
568,11,84,59,11,20
569,76,39,39,15,81
570,14,20,95,56,87
571,9,61,39,96,13
572,86,42,38,83,60
573,31,38,45,90,39
574,17,16,33,44,24
575,40,64,34,7,15
576,50,13,4,23,25
577,58,75,38,58,67
578,75,40,31,63,41
579,58,0,24,40,43
580,47,26,58,14,95
581,59,66,47,88,76
582,8,62,90,57,14
583,38,85,84,6,11
584,58,92,42,16,39
585,44,53,98,52,0
586,5,81,35,35,72
587,40,78,90,19,69
588,58,67,5,99,71
589,62,78,15,74,75
590,12,86,35,84,93
591,0,82,4,83,24
592,47,87,55,69,67
593,69,9,51,3,43
594,93,69,61,54,33
595,62,21,56,99,87
596,53,20,38,34,77
597,62,11,26,90,12
598,12,65,16,25,49
599,8,31,34,16,73
600,62,16,54,67,43
601,5,67,81,84,46
602,3,38,62,82,22
603,56,74,68,19,76
604,67,86,47,29,64
605,31,84,75,42,15
606,92,62,90,51,94
607,92,79,22,28,35
608,2,2,24,44,8
609,30,90,91,54,98
610,43,91,22,55,59
611,65,62,2,8,34
612,68,98,13,93,54
613,38,33,42,4,36
614,75,36,66,6,13
615,45,0,79,64,11
616,57,63,67,98,63
617,87,76,29,21,66
618,8,0,79,58,45
619,48,20,85,76,25
620,92,70,76,53,86
621,35,51,92,57,74
622,15,14,24,14,54
623,12,67,15,32,35
624,36,98,57,41,44
625,77,54,79,60,2
626,77,44,68,96,45
627,23,5,54,40,87
628,62,52,38,45,30
629,21,36,31,58,24
630,48,94,23,75,60
631,76,93,16,73,4
632,52,36,53,20,14
633,68,34,97,15,48
634,6,2,86,81,59
635,19,98,28,12,26
636,26,89,22,81,93
637,35,58,57,80,9
638,37,98,89,3,8
639,65,75,41,39,57
640,13,24,65,3,45
641,64,13,79,64,2
642,0,33,28,29,82
643,74,91,14,64,5
644,42,27,15,67,97
645,73,27,47,11,35
646,47,5,51,47,95
647,44,44,43,63,37
648,42,95,5,61,45
649,18,6,33,93,84
650,38,22,64,47,36
651,13,94,48,83,25
652,88,60,71,71,48
653,21,56,6,91,74
654,91,55,1,85,16
655,57,6,76,47,40
656,87,56,11,32,52
657,95,61,28,17,98
658,43,88,86,71,65
659,43,98,98,48,31
660,97,75,12,84,46
661,69,56,20,60,50
662,14,32,36,27,53
663,13,47,63,69,66
664,79,12,16,63,86
665,68,52,40,17,81
666,49,66,49,78,76
667,14,40,86,37,28
668,77,12,81,15,56
669,2,90,11,4,57
670,73,71,4,3,71
671,93,19,73,34,44
672,9,46,37,64,44
673,24,35,8,5,4
674,78,90,89,7,28
675,22,95,16,46,59
676,23,55,8,9,96
677,45,9,4,51,82
678,17,32,40,41,1
679,97,59,47,38,36
680,38,52,25,91,6
681,68,36,37,98,78
682,25,67,97,42,73
683,83,31,67,78,2
684,58,2,39,37,14
685,30,37,38,34,76
686,4,3,95,67,98
687,96,32,44,57,32
688,87,16,72,12,28
689,10,91,43,94,17
690,10,8,4,15,78
691,29,87,82,5,16
692,74,61,75,15,15
693,87,69,29,76,72
694,58,67,1,2,10
695,75,1,86,64,79
696,88,30,73,66,25
697,25,66,1,6,62
698,71,90,47,82,53
699,6,20,88,89,36
700,84,14,80,91,80
701,61,47,76,90,32
702,93,94,48,95,21
703,34,22,63,47,74
704,87,47,77,33,23
705,67,95,59,32,23
706,2,16,56,60,42
707,35,81,30,41,86
708,10,3,77,36,38
709,28,93,92,57,82
710,76,68,98,52,98
711,76,69,38,25,73
712,20,63,48,50,30
713,90,85,63,45,54
714,85,75,87,88,74
715,62,92,54,10,12
716,60,72,31,20,11
717,30,39,53,60,65
718,40,95,49,55,78
719,42,34,82,52,3
720,67,28,75,57,44
721,98,59,41,2,56
722,62,3,39,90,7
723,57,6,33,41,87
724,27,34,83,36,99
725,54,28,5,30,89
726,1,27,78,19,6
727,41,50,3,93,88
728,58,14,43,70,18
729,22,4,76,74,6
730,85,94,13,51,34
731,0,75,74,96,85
732,92,99,29,25,31
733,11,53,78,65,11
734,43,73,48,94,23
735,71,84,41,66,57
736,85,67,60,62,13
737,23,64,37,92,82
738,83,26,29,2,41
739,29,87,41,43,38
740,97,89,65,73,86
741,90,6,67,68,51
742,90,74,42,78,90
743,24,57,33,5,38
744,44,44,22,45,72
745,81,90,27,33,14
746,60,24,64,63,41
747,53,56,44,44,44
748,47,96,51,24,4
749,98,88,97,44,64
750,84,19,74,18,69
751,54,44,90,65,17
752,92,39,91,0,74
753,63,26,29,28,90
754,22,15,99,24,38
755,36,7,22,3,95
756,98,81,25,32,41
757,31,91,1,45,43
758,8,2,25,38,61
759,85,78,45,79,85
760,92,42,84,52,39
761,4,40,82,89,58
762,18,76,85,44,23
763,2,76,25,39,26
764,26,84,92,80,89
765,5,42,62,92,7
766,15,49,42,13,82
767,92,50,8,0,22
768,58,28,84,41,3
769,96,87,79,43,72
770,54,22,20,75,33
771,84,18,50,22,80
772,1,48,24,19,32
773,30,77,21,86,51
774,92,14,18,20,68
775,96,43,18,9,81
776,18,48,49,9,8
777,34,45,77,66,50
778,77,79,87,20,47
779,55,70,91,35,39
780,25,46,56,66,18
781,82,97,71,63,29
782,72,9,68,7,31
783,69,64,39,9,15
784,76,51,53,35,75
785,88,19,58,42,77
786,33,39,13,83,7
787,64,38,18,86,26
788,8,6,64,98,28
789,88,5,30,31,5
790,89,50,36,63,69
791,35,11,90,16,91
792,66,95,62,82,3
793,93,2,74,77,2
794,33,4,12,88,63
795,73,14,78,95,53
796,62,79,94,22,13
797,55,51,90,0,69
798,40,44,36,9,59
799,56,61,63,87,31
800,95,39,26,83,94
801,26,60,46,35,57
802,36,99,3,15,21
803,6,62,1,65,66
804,37,4,76,44,53
805,8,98,96,33,90
806,21,48,1,54,46
807,3,25,50,34,13
808,25,59,77,20,93
809,7,16,17,85,47
810,16,23,95,25,96
811,1,41,33,31,5
812,96,12,98,4,40
813,62,32,7,45,29
814,96,7,49,18,14
815,3,10,47,24,22
816,24,85,55,8,92
817,14,84,94,50,42
818,70,95,78,40,73
819,72,26,63,38,27
820,20,67,23,47,79
821,7,5,41,27,99
822,64,40,68,98,33
823,14,82,3,25,72
824,9,40,21,6,29
825,4,88,0,51,16
826,56,47,30,96,40
827,36,52,27,98,7
828,38,87,27,56,57
829,84,5,94,52,22
830,5,33,86,52,82
831,85,72,84,44,90
832,85,35,0,70,17
833,67,24,79,88,79
834,41,11,24,8,39
835,44,48,38,79,8
836,70,71,58,28,96
837,70,65,70,17,67
838,87,74,11,80,5
839,26,51,8,23,68
840,53,19,52,51,51
841,58,8,32,17,40
842,50,82,59,0,77
843,21,88,93,38,58
844,95,93,81,23,35
845,26,14,71,36,56
846,63,34,30,51,17
847,38,89,95,8,72
848,83,59,35,48,53
849,47,66,45,53,87
850,48,89,50,84,91
851,87,41,70,77,20
852,64,69,80,18,34
853,61,55,76,10,85
854,94,58,68,30,76
855,30,14,34,81,54
856,87,83,49,40,53
857,2,93,41,65,19
858,81,88,5,73,52
859,21,18,2,36,9
860,71,71,61,47,38
861,2,5,56,21,85
862,2,96,67,19,61
863,28,98,57,72,80
864,36,85,65,15,59
865,59,19,22,14,15
866,95,29,96,19,98
867,62,97,93,52,62
868,71,92,57,24,87
869,74,33,44,12,45
870,33,9,51,97,58
871,95,58,81,35,2
872,44,16,77,88,28
873,69,26,11,56,42
874,62,21,48,36,92
875,89,10,21,5,28
876,2,99,40,74,50
877,58,48,78,54,53
878,62,21,55,31,33
879,36,33,30,62,41
880,70,65,93,30,55
881,84,44,99,68,32
882,33,20,16,33,64
883,38,64,86,26,26
884,39,85,92,88,10
885,66,14,0,8,83
886,99,10,76,84,89
887,83,2,20,61,98
888,7,43,17,65,72
889,10,9,18,19,77
890,90,70,36,91,70
891,41,41,28,72,96
892,81,32,30,37,68
893,82,15,55,82,94
894,82,84,54,57,99
895,70,9,14,72,47
896,29,98,72,94,61
897,75,1,52,27,54
898,2,5,58,65,94
899,46,59,54,37,9
900,69,88,74,72,98
901,38,69,59,92,95
902,47,82,85,32,88
903,9,39,6,32,65
904,74,47,18,52,24
905,14,86,20,33,91
906,52,44,70,51,52
907,57,71,5,99,16
908,71,37,44,5,17
909,87,46,60,42,94
910,26,86,48,70,38
911,70,64,13,74,6
912,38,3,94,86,9
913,32,83,70,53,26
914,55,48,58,20,44
915,18,35,18,24,23
916,66,30,71,59,42
917,7,6,34,81,12
918,43,62,66,4,92
919,76,23,2,26,53
920,24,6,27,98,3
921,59,24,33,18,9
922,22,4,88,19,80
923,31,10,41,0,11
924,89,84,25,19,81
925,49,37,59,6,54
926,7,34,8,26,33
927,88,96,79,17,73
928,54,36,59,0,8
929,59,73,0,1,81
930,92,4,67,72,75
931,97,96,70,33,30
932,77,83,44,34,87
933,65,53,48,19,37
934,92,21,54,77,60
935,98,96,40,56,35
936,55,92,50,43,29
937,15,46,51,18,59
938,92,59,26,26,57
939,52,21,61,10,24
940,92,59,32,68,34
941,44,66,6,19,71
942,50,81,65,74,14
943,47,25,90,35,34
944,3,3,52,38,13
945,52,2,11,3,64
946,81,38,93,94,27
947,69,11,2,73,12
948,24,78,27,82,26
949,0,50,8,36,96
950,52,59,15,94,40
951,85,69,88,84,97
952,29,23,10,9,41
953,24,41,62,24,94
954,16,98,5,51,60
955,82,48,14,77,25
956,71,37,92,57,93
957,11,35,41,72,10
958,84,46,88,61,13
959,41,99,91,43,40
960,67,8,34,67,27
961,48,22,29,93,14
962,97,48,46,52,35
963,60,73,93,69,23
964,64,56,28,67,60
965,48,36,1,60,14
966,0,65,34,39,13
967,10,46,1,41,87
968,70,9,56,7,76
969,28,69,86,13,98
970,74,37,20,0,43
971,50,48,17,85,25
972,84,30,30,40,0
973,86,81,16,54,15
974,84,81,31,2,66
975,48,57,1,0,54
976,54,75,66,73,16
977,76,39,40,41,54
978,22,60,29,28,74
979,86,23,43,94,4
980,18,84,54,35,33
981,76,53,36,80,27
982,82,74,22,70,47
983,61,77,51,93,78
984,56,11,32,17,50
985,72,74,4,59,95
986,64,93,34,49,26
987,49,47,58,60,18
988,76,35,11,94,79
989,95,70,0,77,11
990,95,10,31,54,50
991,21,25,13,91,75
992,47,83,96,77,18
993,73,92,49,25,63
994,14,68,49,54,52
995,5,95,37,49,65
996,93,47,4,90,89
997,46,13,34,53,61
998,55,81,72,2,26
999,19,44,93,64,20
